dolomita             2         632.73E+00   8.23E+00   3.71E+03   5.57E+00   
dolomita             2         642.72E+00   8.41E+00   3.11E+03   6.05E+00   
dolomita             2         652.74E+00   7.83E+00   3.40E+03   6.08E+00   
dolomita             2         662.72E+00   7.84E+00   3.70E+03   5.96E+00   
dolomita             2         672.68E+00   8.88E+00   3.06E+03   6.10E+00   
dolomita             2         682.68E+00   8.36E+00   3.58E+03   5.99E+00   
dolomita             2         692.68E+00   8.01E+00   3.25E+03   6.05E+00   
dolomita             2         702.70E+00   8.10E+00   3.48E+03   5.69E+00   
dolomita             2         712.72E+00   7.97E+00   3.51E+03   6.08E+00   
dolomita             2         722.74E+00   7.71E+00   3.17E+03   5.72E+00   
dolomita             2         732.75E+00   8.20E+00   3.47E+03   5.83E+00   
dolomita             2         742.71E+00   8.23E+00   3.24E+03   5.13E+00   
dolomita             2         752.73E+00   8.50E+00   3.59E+03   6.05E+00   
dolomita             2         762.71E+00   8.02E+00   3.57E+03   5.99E+00   
dolomita             2         772.69E+00   8.55E+00   3.29E+03   5.97E+00   
dolomita             2         782.71E+00   8.24E+00   3.60E+03   5.52E+00   
dolomita             2         792.75E+00   8.30E+00   3.51E+03   6.19E+00   
dolomita             2         802.72E+00   8.26E+00   3.40E+03   5.71E+00   
dolomita             2         812.73E+00   8.38E+00   3.74E+03   5.69E+00   
dolomita             2         822.72E+00   8.17E+00   3.57E+03   5.94E+00   
dolomita             2         832.69E+00   8.31E+00   3.42E+03   6.14E+00   
dolomita             2         842.71E+00   8.49E+00   3.46E+03   6.55E+00   
dolomita             2         852.69E+00   7.90E+00   3.41E+03   6.04E+00   
dolomita             2         862.73E+00   8.39E+00   3.70E+03   5.61E+00   
dolomita             2         872.69E+00   8.73E+00   3.53E+03   6.10E+00   
dolomita             2         882.67E+00   8.36E+00   3.57E+03   6.29E+00   
dolomita             2         892.73E+00   7.79E+00   3.67E+03   5.28E+00   
dolomita             2         902.72E+00   8.57E+00   3.74E+03   6.21E+00   
dolomita             2         912.73E+00   7.82E+00   3.65E+03   6.03E+00   
dolomita             2         922.70E+00   9.07E+00   3.75E+03   5.98E+00   
dolomita             2         932.73E+00   7.87E+00   3.41E+03   6.35E+00   
dolomita             2         942.72E+00   8.51E+00   3.46E+03   5.87E+00   
dolomita             2         952.72E+00   8.20E+00   3.92E+03   5.79E+00   
dolomita             2         962.75E+00   7.44E+00   3.23E+03   6.30E+00   
dolomita             2         972.76E+00   8.48E+00   3.47E+03   5.93E+00   
dolomita             2         982.72E+00   9.07E+00   3.46E+03   6.57E+00   
dolomita             2         992.76E+00   7.46E+00   3.29E+03   5.64E+00   
dolomita             2        1002.74E+00   8.32E+00   3.46E+03   6.10E+00   
dolomita             2        1012.73E+00   8.50E+00   3.69E+03   6.07E+00   
dolomita             2        1022.76E+00   8.46E+00   3.71E+03   6.06E+00   
dolomita             2        1032.71E+00   7.70E+00   3.09E+03   6.28E+00   
dolomita             2        1042.73E+00   7.77E+00   3.25E+03   5.65E+00   
dolomita             2        1052.81E+00   8.49E+00   3.16E+03   6.03E+00   
